"Author";"Content";"Author URL"
"@crimsorrowz";"I love how the husband always trusts her ❤";"/channel/UC2kQtAq1GVXaykmbFO9Qm0A"
"@Tamaki654";"The dubbing made this so funny 😂
I love how dramatic k-drama i";"/channel/UC1errgdOR-GZV8cRBhBCSbg"
"@carmenfurrell9759";"I like that they realized they are married early into the movie.
The story would be better if it were not voiced over, rather hear their actual speech.";"/channel/UCtE0OhYdI8yCvUxvQ2G4zHQ"
"@Gemini-z1j";"This dubbing killing me with laughter 😂😂 1:46:30 kiss kiss kiss made me 😂😂";"/channel/UC_t7IsZ1SMoxOxodis7-dkg"
"@StephenAmetefe";"I can't stop watching it. 
Let them talk with  their real voice. 
I am happy for Mr and Mrs Shea. 
Mr Shea is a responsible man
Trina should not be jealous . 
I can't stop watching Chinese drama. Infact watch it always 🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤";"/channel/UCdwFDjNZIxXj6RlSWyr1xTA"
"@borgz1352";"Can someone give me the title so I can watch it with the original audio.";"/channel/UCSzyx91pt1j_9Zy6avvr53Q"
"@iulianraducu3274";"50:57 - that violinist is acting like cutting wood with handsaw ,...😂😂😂";"/channel/UCiLMy7QcknoqUqguC8M00mQ"
"@grisildagangavane9671";"Chinese films = ceo mafias marrying + poor girl + lot of dialogues.

No films without a ""ceo""!!???  😂😂";"/channel/UCauuwUW4YwPA1N9rYUuqo2A"
"@tammycook7549";"Wow this man had a extra piece of jewelry  in his pocket to put her ring on , love it love it .";"/channel/UC7_VcGnmYnxtftAw-SAVgQA"
"@TorchCarlsen";"But later Claire was able to discover that she is the only lover of Gerald when the assistant explain to her that she was the one who save gerald in the car accident. After knowing it she said sorry directly and accept that she misunderstood his husband.";"/channel/UCb0Id0KdNsr5e1ZNhHBmZJw"
"@cris-72";"45:24 I wish you could hear the music 😢";"/channel/UC_AR75gU9SRzFNMlvMAil7w"
"@mphokhobotlo3299";"I love how Claire is no push over ❤";"/channel/UC-x7bcDax2eOFEEsYF1slfg"
"@HellenKili";"I love ❤the way Mr shea behaves by bring good and responsible man. He is quite gentle man";"/channel/UCaXMsO3TAVXvD_oSmQq9UmQ"
"@graces4149";"Omg this dubbed is so annoying. Please let them talk with their own voice and use subtitle instead 😭😭";"/channel/UCT017uV0nncKGYjbRsk9iyA"
"@germainemoche478";"Finally a movie were the husband is not a jerk but a conscious, loving person.";"/channel/UCFl-CJBW0J0k6_wqPbzR9UQ"
"@theafricanbarbie3458";"I don’t know what this actresses name is, but she usually plays the villainess. I like the fact that she got to play a good guy that was still a main character.";"/channel/UCTQucY8gv5Ikw8dfWKfdFdg"
"@audreyodipo9695";"Claire is so beautiful";"/channel/UCjgl1LVwnZCuY-IYxbMqYoQ"
"@adeleschannel5834";"This drama is not bad at all. Nice for a short drama. No need to listen to the dialogue. Just read captions.";"/channel/UCDdIi2Fb1XwlINsOdJOoHQg"
"@LeratoSolomon-jc1in";"The voice overs are killing me😂😂no emotions no nothing it's like";"/channel/UCr-aXbms3oovWxm2AkaDixQ"
"@laquillaharris8756";"THIS WAS WRITTEN VERY WELL. THANK YOU FOR GETTING STRAIGHT TO THE POINT. ENJOYED WATCHING AND CAST WAS EXCELLENT ❤❤❤";"/channel/UCy4jAViBMXZssoQIDMjYwbA"
"@Q-LoveMovies-N";"This KDrama is so captivating! The plot twist of the 'poor boy' being a CEO is classic, and the forced marriage trope adds a layer of complexity. It's so satisfying to watch their relationship develop and see them fall in love despite the initial circumstances. The acting is great, and the storyline keeps you hooked. A must-watch for anyone who loves a good romance with a touch of drama!";"/channel/UCzxEiNF3JvlwAh69vzWj3rA"
"@seklistangdronista77";"I watch this story in Facebook but I'm  annoying because of a short and must paid the episode so I search in YOUTUBE, thank you I really love the story....... Lesson learned; DO NOT JUDGE THE BOOK BY ITS COVER.";"/channel/UCjAKVyzwNuaZe9ux0CvNsrw"
"@ogochukwuconstance58";"What is the name for this movie";"/channel/UCxsD51rWTvWm6ptxQrY310g"
"@Guh_race";"It's so cute the way she reports to him 😂❤";"/channel/UCQMIh-Q2UEp2e716ThwsRUQ"
"@OnyiriKelly";"So good Mr Shea you are a man of your words, you never allowed miss holder to deceive you Garcia Mr Shea. When you are married Watch your back you don't know the girls your husband encountered before marrying you that are devilish and wicked that contributed to your problems in the marriage like miss holder.";"/channel/UC0wG-xAArPyg5XQjGJJXwkA"
"@Akanmfon-TV";"Small youtubers lets gather here";"/channel/UCWw_v8l3vMxUtJ3k-Z9QAaQ"
"@Joy-l9d4q";"Im so happy after watching this so exciting. I actually thought it will take the whole movie for them both to realise that they are married. Well written";"/channel/UCG9sjoJMc3-xZb2Kc9_hKjg"
"@HafsaIkram-w6k";"I really like this story ❤  bring more story like this";"/channel/UCZW_F_gUTcENUYpYZ4CzHiQ"
"@babyboss2886";"First time watching drama love it from🇰🇪🇰🇪";"/channel/UC01f4i7gFI5Q7K6eASb619g"
"@GoabaoneHulela";"Hyy guys don't you think that Trina is not beautiful than Claire. Claire is really beautiful and good girl. I love Claire ❤❤❤❤❤";"/channel/UCHRRSzYMkcXaRA17onsJ4PA"
"@laurencemadeja295";"what is the true name of main character";"/channel/UCJkRcSdoQi-4POuKvKhf8Ng"
"@nancytolentino5065";"It is a different kind of series. It is well acted in their own role. Although the ml is domineering he is good to his wife and respected her wishes. What I like the most is that” you don’t judge the book by its cover”. They talk about country bumpkin but what is wrong with it? I want to encourage viewers to enjoy this short series.";"/channel/UCG3iIB-qRsdSbIrNkNL2bEg"
